"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3600","4670","5800","6720","7130","7670","8870","11050","13010","12540","11120","10020","9880","9840","11240","14240","18620","19760","21300","22890","25810","25990","27530","29520","30870","30140","27950","26840","26150","24740","23620","26070","31570","35710","38230","40440","43570","43520","44550","47220","46530","47190","47620","45850","44290","43680","47150","48520",
"Djibouti","DJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2730","2870","2990","3260","3540",
"Dominica","DMA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","710","960","1160","1210","1220","1330","1480","1790","2170","2560","2600","2810","2960","3200","3410","3490","3720","3890","4010","4200","4200","4220","4470","4270","4680","4950","5050","5490","5760","6340","6520","6730","6920","6730","6780","7020","6870","7340","7060","7710","8090",
"Denmark","DNK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","2870","3140","3310","3670","4310","5580","6800","8080","8960","9780","11170","13560","15090","14180","12860","11710","11520","11840","14070","17760","22130","23050","24370","25540","28700","28570","30360","32560","34770","35150","33460","33060","32580","31410","30850","34750","42640","49610","53540","55740","60390","60090","61220","61990","61650","63200","63670","60510","58040","56210","60920","63240",
"Dominican Republic","DOM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","220","240","260","230","250","250","250","280","340","370","430","520","610","710","780","830","900","1030","1140","1210","1240","1240","1300","1100","1030","940","920","910","870","1040","1340","1610","1740","1960","2170","2360","2450","2540","2680","2740","2900","2660","2590","3080","3680","4450","4770","4920","5330","5540","5790","6030","6330","6580","6860","7090","7760","8090",
"Algeria","DZA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","230","240","250","230","250","280","310","330","320","440","530","710","910","1060","1100","1320","1640","1990","2200","2260","2190","2270","2400","2590","2810","2750","2550","2370","1980","1900","1730","1620","1550","1520","1510","1540","1530","1590","1670","1730","1930","2250","2710","3100","3600","4220","4290","4480","4600","5170","5510","5490","4850","4370","3920","3960","3970",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","71.3062660738739","77.5694511910755","86.2337899555683","97.7060551069663","105.713816039894","99.7080559978494","96.5369503115385","108.170001564728","121.160242785873","124.571838507568","131.552960851789","158.838875411783","185.915716709131","216.31036543313","211.541567209127","224.983833145958","238.676868995028","263.5342500224","291.27063550078","308.229066455486","307.689170197613","303.759036853173","321.876974852904","344.39954673801","365.779224841864","382.108860169089","401.649383150212","403.372078362216","418.790675353088","448.984940762531","498.530235662288","541.447230247141","607.892717272646","699.248933209705","813.862412571556","882.20044708058","828.327591521375","852.51501098571","911.005655373043","982.941280947813","1064.77071754463","1209.98858983196","1423.30831466286","1636.85739047624","1894.19572320511","2273.20063089123","2770.02815488313","3214.25515338574","3758.69728322793","4341.5136363774","5074.5631613028","5707.58798732573","6210.24488826695","6472.12205874656","6681.21296363316","7018.26336169444","7699.32206171916","8299.22034153004",
"Early-demographic dividend","EAR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","198.525066455512","204.089294121025","217.824414678716","229.69592961533","242.080795347761","258.287855151071","305.603510752248","387.459375776951","462.455113111809","497.09184761699","508.939261351934","548.930605371149","640.120238233418","756.727449214381","855.026651919103","835.887638552898","777.28090439915","749.683563736241","749.870787112789","774.036245742902","810.456556218778","839.010274927622","808.259181859428","844.377792301774","886.199959391805","980.637964643182","1034.63533913125","1087.91268972176","1112.26692596857","1164.54500097153","1202.11997691367","1172.02595648285","1184.47558648861","1247.15711788492","1264.97238839615","1234.32058106686","1311.40752687008","1486.76607864173","1699.60496280578","1906.2392871131","2155.14679641173","2413.96726399586","2498.78844986889","2725.33168435203","2969.26467785734","3274.57860193891","3410.84421122595","3448.06509154219","3367.86705135056","3325.65013654115","3373.41329071463","3551.08829430123","3645.52864299686",
"East Asia & Pacific","EAS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","142.720294812122","156.132527755249","174.729112693984","193.502248658737","212.763101380463","223.774588720729","242.950293865279","276.456468834705","304.619356466555","333.900864435031","393.626298957891","500.70743361883","607.110314540019","706.76055418299","731.689965300683","790.569427407701","933.239598123131","1133.03787228114","1286.45159239356","1337.19814820985","1289.2381613942","1255.46047014296","1295.22563401156","1381.05070846598","1586.75363769246","1937.88239328116","2475.38818383191","2653.73826124549","2756.27496602143","2866.02930000312","3067.74190371129","3317.28821609305","3639.94730669005","4102.03912099037","4310.44704548289","4182.82987088869","3664.22378773132","3627.39617177811","3836.33442221298","3922.17944491514","3878.21092395088","4060.42145965552","4567.90287189885","5000.62031889688","5289.54983946609","5662.84636556887","6173.56619369769","6523.22606009572","7338.98710485144","8139.54853556987","9108.01648834059","9709.87421244155","9941.88647209394","9830.28410860233","9903.20899104299","10245.3783407704","11103.960745448","11725.7014662537",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2373.85512075031","2241.34537653703","2155.86468624889","1918.28219472139","1942.23606919238","1944.96169249745","2020.81930808317","1856.66942483154","1712.47717996887","1795.20922112346","1705.44475225971","1862.07352022226","2201.85412108339","2895.3745904124","3729.12391907986","4621.94810064744","5728.60233446686","6965.13550258087","6849.14769898284","7390.75330091346","8054.07707973252","9296.81209551075","10271.1532020017","10173.7807900163","8791.44329185146","7626.61522478086","7290.72491770285","7675.26821082868","8014.25135158473",
